ID,Matricula,P1,Ano,Semestre,Semestre da disciplina,Situacao
74,2010,55,2013,1,2,R
75,2017,23,2018,2,2,R
76,2009,62,2013,1,2,R
77,2017,53,2017,1,1,A
78,2019,52,2019,1,1,A
79,2016,67,2017,1,1,A
80,2018,86,2018,1,1,A
81,2011,91,2014,2,2,A
82,2015,33,2015,1,1,A
83,2012,0,2013,1,2,R
84,2018,41,2018,2,1,A
85,2017,25,2017,2,1,A
86,2016,36,2017,1,1,A
87,2019,5,2019,1,1,R
88,2015,58,2015,2,1,A
89,2014,41,2014,2,1,R
90,2017,72,2017,2,1,A
91,2019,10,2019,1,1,R
92,2011,7,2013,1,2,R
93,2017,84,2017,1,1,A
94,2016,15,2016,1,1,R
95,2018,16,2018,1,1,R
96,2018,77,2018,1,1,A
97,2018,44,2018,1,1,R
98,2016,24,2017,2,1,R
99,2010,20,2013,2,6,R
100,2016,76,2016,2,2,A
101,2014,75,2014,2,1,A
102,2014,40,2014,2,1,A
103,2017,27,2017,1,1,R
104,2014,90,2014,1,1,A
105,2015,44,2019,1,5,A
106,2017,0,2018,2,2,R
107,2017,83,2017,1,1,A
108,2015,0,2016,1,1,R
109,2017,75,2017,1,1,A
110,2016,69,2016,2,2,A
111,2016,8,2016,2,2,R
112,2017,29,2017,1,1,A
113,2014,62,2014,2,1,A
114,2018,39,2018,2,1,A
115,2017,40,2019,1,1,A
116,2015,39,2015,2,1,A
117,2014,67,2014,1,1,A
118,2017,45,2017,1,1,A
119,2016,81,2016,2,2,A
120,2018,88,2018,1,1,A
121,2017,31,2018,1,1,R
122,2018,64,2018,2,2,A
123,2017,67,2017,2,1,R
124,2015,83,2015,2,1,A
125,2016,4,2016,2,2,R
126,2015,80,2015,1,1,A
127,2014,75,2014,1,1,A
128,2017,67,2017,1,1,A
129,2014,55,2014,2,2,R
130,2012,100,2013,1,3,A
131,2016,31,2018,1,1,R
132,2014,56,2014,1,1,A
133,2011,2,2013,1,2,R
134,2009,46,2013,1,2,R
135,2017,54,2017,1,1,A
136,2014,78,2014,2,1,A
137,2017,4,2017,2,1,R
138,2011,45,2013,1,3,R
139,2012,100,2013,1,3,A
140,2015,54,2015,1,1,A
141,2015,8,2016,2,2,R
142,2017,71,2017,2,1,A
143,2012,17,2013,1,2,R
144,2018,92,2018,2,2,A
145,2017,10,2018,2,1,R
146,2012,59,2013,1,2,A
147,2014,68,2014,2,1,A
148,2014,12,2014,2,2,R
149,2017,26,2018,2,2,R
150,2016,81,2016,2,2,A
151,2016,78,2016,2,2,A
152,2010,76,2014,2,2,R
153,2018,6,2018,1,1,R
154,2014,66,2014,2,2,R
155,2014,79,2014,2,1,A
156,2014,44,2014,1,1,A
157,2016,8,2017,2,1,R
158,2016,84,2017,1,1,A
159,2012,6,2013,1,2,R
160,2018,52,2018,1,1,A
161,2014,48,2014,1,1,A
162,2018,0,2018,2,1,R
163,2016,39,2016,2,2,R
164,2018,71,2018,1,1,R
165,2014,58,2014,2,1,A
166,2018,80,2018,1,1,A
167,2009,31,2013,2,6,A
168,2014,3,2015,2,1,R
169,2007,43,2013,1,2,R
170,2017,63,2017,1,1,A
171,2019,25,2019,1,1,A
172,2012,27,2013,1,2,R
173,2017,34,2018,2,2,A
174,2018,0,2018,2,1,R
175,2014,33,2014,2,1,R
176,2018,33,2018,1,1,R
177,2017,15,2017,1,1,R
178,2015,80,2015,2,1,A
179,2017,71,2017,2,1,A
180,2017,77,2017,1,1,A
181,2009,20,2013,1,2,R
182,2017,30,2017,1,1,A
183,2016,39,2016,2,2,A
184,2017,9,2017,1,1,R
185,2016,98,2016,2,2,A
186,2019,8,2019,1,1,R
187,2018,15,2018,1,1,R
188,2016,100,2016,2,2,A
189,2013,0,2016,1,1,R
190,2011,39,2013,1,2,R
191,2016,83,2016,2,2,A
192,2012,51,2013,1,2,R
193,2017,34,2017,2,1,R
194,2016,21,2017,1,1,R
195,2015,21,2017,2,1,R
196,2012,0,2013,1,2,R
197,2011,28,2013,1,2,R
198,2014,49,2014,2,2,R
199,2017,50,2017,1,1,A
200,2016,63,2016,2,2,A
201,2016,15,2016,2,2,R
202,2017,88,2017,2,1,A
203,2017,49,2017,1,1,A
204,2017,26,2018,2,2,R
205,2015,57,2015,2,1,A
206,2017,49,2017,1,1,A
207,2019,64,2019,1,1,A
208,2011,17,2017,2,1,R
209,2016,94,2016,2,2,A
210,2010,34,2013,1,2,R
211,2014,63,2014,1,1,A
212,2018,54,2019,1,1,A
213,2017,48,2017,1,1,A
214,2012,30,2013,2,4,A
215,2017,19,2018,1,1,R
216,2017,61,2017,1,1,A
217,2014,21,2014,1,1,A
218,2016,84,2016,1,1,A
219,2015,64,2018,1,1,A
220,2017,0,2018,1,1,R
221,2019,31,2019,1,1,R
222,2008,50,2013,1,3,A
223,2019,70,2019,1,1,A
224,2017,84,2017,1,1,A
225,2016,53,2016,2,2,A
226,2016,76,2016,2,2,A
227,2012,26,2014,1,1,R
228,2016,76,2016,1,1,A
229,2017,72,2017,2,1,A
230,2014,68,2014,1,1,A
231,2016,92,2016,2,2,A
232,2018,50,2018,2,2,A
233,2014,34,2014,2,2,R
234,2016,63,2016,2,2,A
235,2011,34,2014,2,2,R
236,2014,38,2016,1,1,A
237,2018,67,2018,1,1,A
238,2014,30,2014,2,1,R
239,2018,84,2018,1,1,A
240,2017,37,2017,2,1,A
241,2014,58,2014,1,1,A
242,2009,37,2015,2,6,R
243,2018,71,2018,1,1,A
244,2014,35,2014,2,1,A
245,2015,81,2015,1,1,A
246,2012,49,2013,1,3,A
247,2016,88,2016,2,2,A
248,2014,71,2014,2,2,A
249,2017,73,2017,1,1,A
250,2012,80,2013,1,3,A
251,2009,4,2013,1,2,R
252,2011,68,2013,2,6,A
253,2011,31,2013,1,2,R
254,2012,47,2013,1,2,R
255,2015,27,2015,2,1,R
256,2012,22,2013,1,2,R
257,2013,100,2013,2,4,A
258,2014,82,2014,2,1,A
259,2016,36,2016,2,2,A
260,2017,63,2017,2,1,A
261,2010,76,2013,1,2,A
262,2019,83,2019,1,1,A
263,2016,63,2017,1,1,R
264,2018,25,2018,2,1,R
265,2014,43,2014,2,1,A
266,2016,74,2018,2,2,R
267,2016,80,2016,2,2,A
268,2012,5,2013,1,2,R
269,2017,99,2017,2,1,A
270,2016,100,2016,1,1,A
271,2016,63,2016,1,1,A
272,2018,57,2018,2,1,A
273,2011,61,2013,1,2,A
274,2015,52,2015,2,1,A
275,2018,0,2018,1,1,R
276,2019,68,2019,1,1,A
277,2014,49,2014,2,1,A
278,2017,60,2017,2,1,A
279,2018,0,2018,2,1,R
280,2017,0,2018,1,1,R
281,2014,91,2014,2,2,A
282,2018,23,2018,1,1,R
283,2015,15,2015,1,1,R
284,2014,67,2014,1,1,A
285,2018,84,2018,1,1,A
286,2016,82,2016,1,1,A
287,2010,78,2013,1,2,A
288,2017,87,2017,1,1,A
289,2012,90,2013,1,3,A
290,2017,54,2017,1,1,A
291,2018,51,2018,1,1,A
292,2012,7,2013,1,2,R
293,2016,20,2017,1,1,R
294,2018,47,2018,1,1,A
295,2017,92,2018,2,2,A
296,2016,80,2016,1,1,A
297,2011,1,2013,1,3,R
298,2013,49,2016,2,2,A
299,2015,25,2015,2,1,R
300,2017,40,2017,2,1,R
301,2014,52,2014,2,2,R
302,2019,65,2019,1,1,A
303,2014,88,2014,1,1,A
304,2016,53,2017,1,1,A
305,2012,48,2013,1,3,R
306,2018,36,2018,2,1,A
307,2019,10,2019,1,1,R
308,2018,98,2018,1,1,A
309,2007,27,2013,1,2,R
310,2011,96,2014,2,2,A
311,2018,65,2018,1,1,R
312,2018,93,2018,1,1,A
313,2015,85,2017,1,1,A
314,2015,42,2015,2,1,A
315,2017,22,2018,1,1,R
316,2007,0,2013,1,2,R
317,2018,92,2018,1,1,A
318,2014,60,2014,1,1,A
319,2017,26,2017,2,1,R
320,2011,55,2013,1,3,R
321,2014,50,2014,2,2,R
322,2018,10,2018,2,1,R
323,2017,75,2017,2,1,A
324,2014,0,2014,2,2,R
325,2015,5,2018,2,2,R
326,2014,67,2015,1,1,A
327,2013,19,2015,2,1,R
328,2015,52,2015,1,1,A
329,2012,65,2013,1,3,A
330,2016,83,2016,1,1,A
331,2010,5,2013,1,3,R
332,2017,64,2017,1,1,R
333,2011,50,2018,1,1,R
334,2016,68,2016,1,1,A
335,2014,60,2014,1,1,A
336,2010,40,2013,1,3,R
337,2017,0,2019,1,1,R
338,2016,42,2016,2,2,R
339,2016,87,2016,2,2,A
340,2018,67,2018,1,1,A
341,2017,12,2018,1,1,R
342,2014,55,2014,1,1,A
343,2015,83,2018,1,1,A
344,2006,70,2014,2,2,A
345,2017,71,2017,1,1,A
346,2017,87,2017,2,1,A
347,2016,37,2016,1,1,R
348,2018,79,2018,2,1,A
349,2016,21,2016,1,1,R
350,2012,83,2013,1,3,A
351,2014,100,2014,2,2,A
352,2018,18,2019,1,1,R
353,2017,22,2017,1,1,R
354,2017,59,2017,2,1,A
355,2011,23,2013,1,3,R
356,2018,53,2018,1,1,R
357,2018,61,2018,2,2,A
358,2011,30,2013,2,6,A
359,2005,32,2013,2,6,A
360,2011,66,2013,1,2,A
361,2016,3,2018,1,1,R
362,2016,36,2016,2,2,A
363,2019,0,2019,1,1,R
364,2015,45,2016,2,2,R
365,2017,39,2019,1,1,R
366,2018,50,2018,1,1,A
367,2017,66,2017,2,1,A
368,2017,10,2017,1,1,R
369,2014,92,2014,2,1,R
370,2011,79,2013,1,2,A
371,2012,65,2013,1,3,A
372,2015,25,2015,1,1,R
373,2015,65,2015,1,1,A
374,2017,0,2018,2,1,R
375,2015,90,2015,2,1,A
376,2016,99,2016,2,2,A
377,2017,0,2018,2,1,R
378,2012,22,2013,1,2,R
379,2014,52,2014,1,1,A
380,2008,16,2013,1,2,R
381,2014,14,2014,2,1,R
382,2012,37,2013,1,2,A
383,2016,40,2018,1,1,A
384,2017,82,2017,1,1,A
385,2017,49,2017,2,1,A
386,2014,15,2014,1,1,R
387,2014,66,2014,1,1,A
388,2012,30,2013,1,3,R
389,2016,79,2016,2,2,A
390,2018,100,2018,2,2,A
391,2017,97,2017,2,1,A
392,2017,51,2017,2,1,A
393,2016,17,2018,1,1,R
394,2017,34,2018,1,1,R
395,2016,90,2016,2,2,A
396,2012,70,2016,2,2,A
397,2017,82,2017,1,1,A
398,2015,40,2015,1,1,A
399,2017,3,2018,1,1,R
400,2016,93,2016,2,2,A
401,2017,71,2017,1,1,A
402,2006,0,2013,1,2,R
403,2015,73,2015,1,1,A
404,2014,2,2014,1,1,R
405,2016,100,2016,1,1,A
406,2010,24,2014,2,2,R
407,2018,28,2018,2,1,R
408,2016,64,2016,2,2,A
409,2009,39,2015,2,6,A
410,2018,74,2018,2,1,A
411,2010,60,2013,1,2,A
412,2011,91,2014,2,2,A
413,2018,38,2018,1,1,R
414,2016,49,2016,2,2,R
415,2016,0,2016,1,1,R
416,2018,90,2018,2,2,A
417,2018,35,2018,2,2,R
418,2017,15,2017,1,1,R
419,2017,84,2017,1,1,A
420,2017,6,2017,2,1,R
421,2012,91,2013,1,3,A
422,2016,99,2016,2,2,A
423,2017,61,2018,2,2,A
424,2011,23,2013,1,2,R
425,2019,10,2019,1,1,R
426,2017,13,2017,1,1,R
427,2018,61,2018,1,1,R
428,2017,45,2017,2,1,A
429,2012,53,2013,1,2,R
430,2017,29,2017,1,1,A
431,2018,55,2018,2,1,R
432,2015,5,2019,1,1,R
433,2017,32,2017,1,1,A
434,2019,29,2019,1,1,A
435,2018,25,2018,2,2,R
436,2015,32,2015,1,1,A
437,2017,26,2017,1,1,R
438,2016,85,2016,2,2,A
439,2017,3,2017,1,1,R
440,2017,66,2017,2,1,A
441,2012,75,2013,1,3,R
442,2017,68,2017,1,1,A
443,2014,59,2014,2,1,A
444,2014,79,2014,2,1,A
445,2015,0,2017,2,1,R
446,2017,4,2017,2,1,R
447,2018,43,2018,1,1,A
448,2017,39,2017,1,1,A
449,2017,15,2017,1,1,R
450,2015,39,2015,1,1,A
451,2012,50,2013,1,2,R
452,2011,93,2013,1,3,A
453,2017,0,2018,2,2,R
454,2008,55,2014,2,2,A
455,2017,33,2018,1,1,A
456,2018,74,2018,1,1,A
457,2015,69,2015,1,1,A
458,2015,95,2015,2,1,A
459,2015,63,2015,2,1,A
460,2017,7,2017,2,1,R
461,2018,77,2018,2,2,A
462,2015,56,2018,2,2,A
463,2016,36,2016,2,2,R
464,2008,21,2014,2,1,R
465,2012,0,2013,1,2,R
466,2012,65,2013,1,3,A
467,2018,53,2018,2,2,A
468,2017,59,2017,1,1,A
469,2017,71,2017,1,1,A
470,2012,89,2016,1,1,A
471,2012,95,2013,1,2,A
472,2014,66,2014,1,1,A
473,2011,38,2013,2,6,R
474,2018,38,2018,1,1,R
475,2012,49,2013,1,2,A
476,2018,99,2018,1,1,A
477,2012,33,2013,1,3,R
478,2016,69,2017,1,1,A
479,2017,35,2017,2,1,A
480,2014,29,2014,2,2,R
481,2016,87,2016,1,1,A
482,2016,0,2016,1,1,R
483,2019,3,2019,1,1,R
484,2017,16,2018,2,2,R
485,2009,46,2014,2,2,R
486,2018,17,2018,1,1,R
487,2012,30,2013,1,3,R
488,2018,10,2018,2,1,R
489,2017,11,2017,1,1,R
490,2014,40,2014,2,2,R
491,2014,44,2014,2,1,A
492,2016,80,2016,2,2,A
493,2015,43,2016,2,2,R
494,2014,61,2014,2,2,R
495,2012,33,2015,2,6,A
496,2012,25,2013,1,3,R
497,2007,66,2013,1,2,R
498,2012,100,2013,1,3,A
499,2018,100,2018,2,1,A
500,2016,48,2016,1,1,R
501,2008,15,2013,1,2,R
502,2018,24,2018,1,1,R
503,2017,49,2017,1,1,A
504,2012,35,2013,1,3,A
505,2016,66,2016,1,1,A
506,2016,77,2016,2,2,A
507,2019,59,2019,1,5,R
508,2017,0,2017,2,1,R
509,2017,7,2018,1,1,R
510,2016,86,2016,2,2,A
511,2018,33,2018,1,1,R
512,2012,17,2013,1,2,R
513,2018,16,2018,1,1,R
514,2018,100,2018,1,1,A
515,2017,55,2017,2,1,R
516,2016,81,2016,2,2,A
517,2010,23,2013,1,2,R
518,2014,76,2014,1,1,A
519,2016,99,2016,2,2,A
520,2017,56,2017,2,1,A
521,2011,6,2013,1,2,R
522,2017,81,2017,1,1,A
523,2012,90,2013,1,3,A
524,2012,53,2016,2,2,A
525,2015,73,2015,2,1,A
526,2014,77,2014,1,1,A
527,2016,35,2016,1,1,R
528,2016,79,2016,1,1,A
529,2017,7,2018,1,1,R
530,2019,73,2019,1,1,A
531,2019,16,2019,1,1,A
532,2016,52,2016,1,1,R
533,2018,3,2018,1,1,R
534,2017,100,2017,2,1,A
535,2018,19,2018,2,1,A
536,2012,41,2013,1,2,R
537,2010,25,2013,1,2,R
538,2017,16,2017,2,1,R
539,2009,84,2014,2,2,A
540,2012,48,2013,1,2,R
541,2015,26,2015,1,1,R
542,2012,87,2013,1,3,A
543,2014,63,2014,2,2,R
544,2015,66,2015,1,1,A
545,2016,12,2018,2,2,R
546,2011,5,2013,1,2,R
547,2018,68,2018,1,1,R
548,2019,31,2019,1,1,R
549,2017,0,2017,1,1,R
550,2012,40,2013,1,2,R
551,2014,72,2014,2,1,A
552,2012,74,2013,1,3,A
553,2018,0,2018,1,1,R
554,2015,20,2015,1,1,R
555,2015,60,2015,2,1,A
556,2016,100,2016,1,1,A
557,2019,15,2019,1,1,R
558,2012,38,2014,1,1,R
559,2017,31,2018,1,1,A
560,2014,29,2014,1,1,R
561,2014,5,2014,2,2,R
562,2010,70,2014,2,2,R
563,2011,70,2014,1,1,A
564,2012,70,2013,1,3,A
565,2016,24,2016,2,2,A
566,2018,95,2018,2,1,A
567,2016,61,2016,2,2,A
568,2009,60,2013,1,2,R
569,2015,75,2015,2,1,A
570,2018,71,2018,1,1,A
571,2016,32,2017,1,1,R
572,2017,94,2017,2,1,A
573,2016,61,2016,2,2,A
574,2017,74,2017,1,1,A
575,2015,53,2015,1,1,A
576,2019,53,2019,1,1,A
577,2018,37,2018,2,2,R
578,2017,73,2019,1,1,A
579,2018,100,2018,1,1,A
580,2012,66,2013,1,2,A
581,2016,35,2017,1,1,A
582,2014,48,2014,1,1,A
583,2018,57,2018,1,1,A
584,2014,55,2014,2,2,R
585,2018,65,2018,1,1,A
586,2010,16,2017,1,1,R
587,2012,77,2014,2,2,A
588,2014,79,2014,2,1,A
589,2015,53,2015,2,1,A
590,2017,60,2017,2,1,A
591,2014,56,2014,1,1,A
592,2012,55,2013,1,2,R
593,2011,75,2013,1,3,A
594,2011,10,2013,2,4,R
595,2014,65,2014,1,1,A
596,2018,100,2018,1,1,A
597,2013,25,2015,2,1,R
598,2017,90,2017,1,1,A
599,2017,77,2017,2,1,A
600,2012,32,2013,1,2,R
601,2013,50,2014,1,1,R
602,2019,20,2019,1,1,A
603,2017,66,2017,2,1,A
604,2014,13,2014,2,2,R
605,2015,75,2015,1,1,A
606,2008,4,2013,1,2,R
607,2010,9,2014,2,2,R
608,2017,78,2017,2,1,A
609,2015,38,2015,2,1,A
610,2012,61,2013,1,2,R
611,2014,10,2014,2,2,R
612,2014,24,2014,2,2,R
613,2019,54,2019,1,1,A
614,2011,44,2013,1,2,R
615,2017,3,2018,1,1,R
616,2012,45,2013,1,2,R
617,2012,70,2013,1,3,A
618,2011,20,2015,1,1,R
619,2016,41,2018,1,1,R
620,2014,65,2014,2,2,A
621,2017,78,2017,1,1,A
622,2017,37,2017,2,1,A
623,2014,21,2014,2,2,R
624,2019,0,2019,1,1,R
625,2007,19,2013,1,2,R
626,2016,69,2016,2,2,A
627,2018,7,2018,1,1,A
628,2017,12,2017,2,1,A
629,2011,12,2013,1,2,R
630,2017,47,2018,1,1,R
631,2017,81,2017,1,1,A
632,2017,44,2017,2,1,A
633,2018,37,2018,1,1,R
634,2018,65,2018,1,1,A
635,2018,46,2018,2,1,R
636,2018,62,2018,2,1,A
637,2014,69,2014,1,1,A
638,2017,20,2017,2,1,A
639,2017,4,2017,2,1,R
640,2018,57,2018,1,1,A
641,2017,83,2018,2,2,A
642,2011,65,2013,1,3,A
643,2012,86,2013,1,3,A
644,2017,61,2017,2,1,A
645,2012,3,2019,1,1,R
646,2009,17,2013,1,2,R
647,2018,41,2018,1,1,R
648,2013,69,2014,1,1,A
649,2018,54,2018,1,1,A
650,2017,16,2017,1,1,R
651,2017,19,2019,1,1,R
652,2012,83,2013,1,3,A
653,2012,50,2013,2,4,A
654,2017,82,2017,2,1,A
655,2012,9,2016,2,2,R
656,2019,10,2019,1,1,A
657,2017,81,2017,2,1,A
658,2017,3,2017,2,1,R
659,2012,50,2013,1,3,A
660,2012,37,2013,1,2,R
661,2016,72,2016,1,1,A
662,2013,78,2014,1,1,A
663,2017,17,2018,2,2,R
664,2015,44,2015,2,1,A
665,2018,65,2018,2,1,A
666,2017,90,2017,1,1,A
667,2012,100,2013,1,3,A
668,2018,9,2018,1,1,R
669,2016,2,2018,2,1,R
670,2018,54,2018,1,1,A
671,2016,67,2016,1,1,A
672,2012,33,2013,1,2,R
673,2018,33,2018,2,2,R
674,2009,70,2013,1,2,A
675,2012,77,2013,1,3,A
676,2014,13,2014,2,2,R
677,2015,90,2015,1,1,A
678,2016,80,2017,2,1,A
679,2011,4,2013,2,6,A
680,2008,72,2014,2,2,A
681,2017,60,2017,1,1,A
682,2017,83,2017,1,1,A
683,2017,53,2017,2,1,A
684,2017,82,2017,2,1,A
685,2018,3,2018,1,1,R
686,2012,40,2013,1,3,R
687,2012,40,2013,1,3,A
688,2014,67,2014,1,1,A
689,2017,29,2017,2,1,A
690,2018,91,2018,1,1,A
691,2017,69,2017,2,1,A
692,2008,16,2013,2,6,R
693,2012,67,2013,1,3,A
694,2014,0,2016,1,1,R
695,2015,5,2015,1,1,R
696,2012,74,2016,2,2,A
697,2006,5,2013,1,2,R
698,2016,59,2016,2,2,A
699,2016,0,2017,1,1,R
700,2018,53,2018,2,1,A
701,2012,75,2013,1,2,A
702,2010,94,2014,2,2,A
703,2014,64,2014,2,1,A
704,2017,77,2018,2,2,A
705,2017,95,2017,2,1,A
706,2015,2,2016,2,2,R
707,2016,26,2016,1,1,R
708,2019,0,2019,1,1,R
709,2008,21,2013,1,2,R
710,2017,80,2018,2,2,A
711,2012,0,2013,1,2,R
712,2014,32,2014,2,2,R
713,2015,46,2016,2,2,R
714,2018,97,2018,2,1,A
715,2012,85,2013,1,2,A
716,2017,13,2017,2,1,R
717,2015,3,2015,2,1,R
718,2012,0,2013,1,2,R
719,2011,54,2013,2,4,A
720,2017,45,2017,1,1,R
721,2016,18,2016,2,2,R
722,2018,76,2018,1,1,A
723,2014,6,2014,2,2,R
724,2013,3,2018,1,1,R
725,2017,3,2017,2,1,R
726,2011,0,2013,2,4,R
727,2015,41,2016,1,1,A
728,2009,37,2013,1,2,R
729,2014,70,2014,1,1,A
730,2014,28,2014,2,2,R
731,2017,55,2017,1,1,R
732,2016,49,2016,2,2,R
733,2019,0,2019,1,1,R
734,2017,6,2017,2,1,R
735,2011,53,2013,2,4,R
736,2018,72,2018,2,2,A
737,2018,70,2018,1,1,A
738,2014,100,2014,2,2,A
739,2017,70,2017,1,1,A
740,2017,18,2018,2,1,R
741,2012,20,2013,1,3,R
742,2018,77,2018,1,1,A
743,2018,8,2018,1,1,R
744,2017,32,2017,2,1,R
745,2012,58,2018,1,1,A
746,2016,3,2016,2,2,R
747,2015,25,2015,1,1,R
748,2009,38,2015,2,6,R
749,2017,52,2018,2,2,A
750,2013,24,2014,1,1,R
751,2018,38,2018,2,1,A
752,2017,14,2017,1,1,A
753,2018,3,2018,1,1,R
754,2017,46,2017,2,1,A
755,2018,4,2018,2,1,R
756,2017,35,2017,2,1,R
757,2009,15,2013,2,4,R
758,2016,28,2016,2,2,R
759,2016,17,2016,1,1,A
760,2013,0,2013,1,2,R
761,2019,3,2019,1,1,R
762,2017,27,2017,1,1,R
763,2017,62,2018,1,1,R
764,2017,90,2017,1,1,A
765,2019,23,2019,1,1,R
766,2017,51,2017,1,1,A
767,2016,50,2017,1,1,A
768,2019,0,2019,1,1,R
769,2017,82,2018,1,1,A
770,2018,75,2018,2,1,A
771,2015,5,2018,1,1,R
772,2018,32,2018,1,1,R
773,2018,55,2018,2,2,A
774,2016,62,2016,2,2,A
775,2018,33,2018,2,2,R
776,2018,76,2018,1,1,A
777,2010,40,2015,2,6,A
778,2015,52,2015,2,1,A
779,2016,92,2016,2,2,A
780,2018,7,2018,1,1,R
781,2015,27,2015,2,1,R
782,2017,45,2017,1,1,A
783,2014,47,2014,2,1,A
784,2012,0,2013,1,2,R
785,2018,57,2018,1,1,A
786,2017,10,2018,1,1,R
787,2017,72,2017,1,1,A
788,2018,86,2018,1,1,A
789,2018,27,2018,1,1,R
790,2012,80,2013,1,3,A
791,2017,61,2017,1,1,A
792,2017,4,2017,2,1,R
793,2014,32,2014,2,1,R
794,2018,86,2018,1,1,A
795,2017,43,2017,2,1,R
796,2012,43,2013,1,2,R
797,2017,62,2018,1,1,A
798,2014,68,2014,1,1,A
799,2015,0,2015,1,1,R
800,2016,76,2016,2,2,A
801,2015,30,2015,2,1,A
802,2017,66,2017,1,1,A
803,2017,55,2018,1,1,A
804,2017,32,2017,2,1,A
805,2017,27,2018,2,1,R
806,2017,30,2019,1,1,R
807,2008,13,2013,2,6,A
808,2015,21,2015,1,1,A
809,2010,93,2014,2,2,R
810,2018,93,2018,1,1,A
811,2011,30,2013,1,3,R
812,2019,50,2019,1,1,A
813,2017,19,2017,1,1,R
814,2015,16,2015,1,1,R
815,2016,57,2017,1,1,R
816,2016,100,2016,2,2,A
817,2016,56,2017,2,1,A
818,2008,77,2014,2,2,A
819,2018,62,2018,2,2,A
820,2017,46,2017,1,1,A
821,2017,59,2017,2,1,A
822,2016,21,2016,1,1,R
823,2016,66,2017,1,1,A
824,2017,100,2017,1,1,A
825,2015,22,2015,1,1,R
826,2017,0,2017,1,1,R
827,2012,6,2013,1,2,R
828,2015,36,2015,1,1,A
829,2012,10,2013,1,2,R
830,2017,82,2017,1,1,A
831,2018,38,2018,1,1,R
832,2014,59,2014,1,1,A
833,2012,88,2013,1,3,A
834,2012,25,2013,1,3,R
835,2011,28,2013,1,2,R
836,2016,84,2016,2,2,A
837,2015,40,2018,2,2,R
838,2016,73,2016,1,1,A
839,2016,100,2016,2,2,A
840,2017,33,2018,1,1,R
841,2010,0,2014,2,2,R
842,2017,90,2017,1,1,A
843,2016,25,2018,1,1,R
844,2017,23,2017,2,1,R
845,2016,76,2016,1,1,A
846,2015,77,2015,2,1,A
847,2015,67,2015,2,1,A
848,2017,51,2017,2,1,A
849,2017,77,2017,1,1,A
850,2014,73,2014,2,2,A
